epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.31179373870964516;0.8944885;0.461899905889993;0.8374236245184336;0.46911421911421913;0.89768714;0.70703125;0.9944621;0.105477855;0.86807877;0.4580861465902041;0.8076188874935092;0.3250745270984051;0.46296296296296297;0.87224334;0.6885246;0.9917856;0.11111111
1;0.2777379302539772;0.8996658;0.48764819703265705;0.8506828031305621;0.493006993006993;0.9116518;0.6382661;0.982131;0.2488345;0.87142324;0.4799112005900362;0.8240586333971548;0.3163980709403388;0.47780678851174935;0.8891967;0.597561;0.97146565;0.25925925
2;0.27362035035362436;0.8997313;0.49984958394042145;0.8596868224443357;0.4994232987312572;0.9139274;0.62433153;0.97925127;0.27214453;0.868822;0.4945194607627627;0.8329936384411092;0.313325807740147;0.49606299212598426;0.889817;0.5706215;0.9671422;0.26719576
3;0.2677904308199672;0.8946851;0.50396467780959;0.8640520731084121;0.5026208503203261;0.9284279;0.5410083;0.95495826;0.41899768;0.8662207;0.4986048685500907;0.8336718844717115;0.3162859393091992;0.5052910052910053;0.9104666;0.52884614;0.9364462;0.43650794
4;0.26481391342046867;0.9014352;0.5237923656910988;0.8719510479183373;0.5116414435389989;0.9118714;0.66459626;0.9840508;0.24941725;0.8740245;0.5123427011552539;0.8385568571474321;0.30656826267983117;0.503957783641161;0.88919556;0.62580645;0.9749243;0.25661376
5;0.2618945725420854;0.90386003;0.5373404973460008;0.8760790761086116;0.5212580081537566;0.91356164;0.6889226;0.98486304;0.26456878;0.8729097;0.5154103937412262;0.8410914156698852;0.3037979235628288;0.5185185185185185;0.8884509;0.6168831;0.974492;0.25132275
6;0.25756489421342976;0.9043843;0.5469235955555259;0.8795813240637135;0.5305765870704717;0.9144033;0.6892489;0.98442;0.27272728;0.87513936;0.5237636346830719;0.8437632246538429;0.30275064431039517;0.5291005291005291;0.89148515;0.62650603;0.97319496;0.27513227
7;0.2535024052299669;0.9073334;0.5590319771507697;0.884361100884397;0.5384615384615384;0.9137049;0.75166667;0.988998;0.2628205;0.87588257;0.5261308746644102;0.8456755810841415;0.2999783012336269;0.5238095238095238;0.8888016;0.65068495;0.9779507;0.25132275
8;0.2534794214912976;0.9064159;0.5659865723532432;0.8849241654011645;0.5311589982527665;0.91900116;0.6795511;0.98102343;0.31759906;0.87588257;0.5264886976590768;0.8449287098227868;0.3001567285628356;0.5185185185185185;0.89723;0.61;0.96627754;0.3227513
9;0.25023247840584745;0.90825087;0.5673175550191165;0.8870693656930089;0.5413752913752914;0.91639805;0.73303837;0.98663515;0.28962705;0.88071346;0.5402509189955252;0.845481142930343;0.3017596598729818;0.5221932114882507;0.89367586;0.67701864;0.9775184;0.2883598
10;0.2506803317720345;0.9090373;0.5760980703656631;0.8897249406922302;0.539895165987187;0.9138577;0.78571427;0.9909178;0.2628205;0.8803419;0.5362308402956366;0.8444574832382874;0.3044383481853693;0.5132275132275133;0.8893234;0.7089552;0.9831388;0.25132275
11;0.24672233817123695;0.9075955;0.5814006869736661;0.8907594165661064;0.5437062937062938;0.9114276;0.79766536;0.9923208;0.23892774;0.87885547;0.5420045671929543;0.8489272732679564;0.29628748897724727;0.5185185185185185;0.88763165;0.703125;0.9835711;0.23809524
12;0.2474580464075446;0.9099548;0.5849150808389046;0.891607724648779;0.546037296037296;0.92011327;0.7203608;0.98397696;0.32575756;0.87885547;0.5345650142654924;0.8503924219445187;0.296206623177376;0.5196850393700787;0.8966068;0.63978493;0.9710333;0.3148148
13;0.24819468166228711;0.90936494;0.5893623765634134;0.8946346240335756;0.5501165501165501;0.9146774;0.7788945;0.99025327;0.27097902;0.8855444;0.5423799947259509;0.8468319162223183;0.2971551898619093;0.5091863517060368;0.8942194;0.7364865;0.9831388;0.2883598
14;0.24770960015711632;0.91106886;0.5930030174124271;0.89498914533988;0.5536130536130536;0.91715735;0.7748851;0.9891457;0.2948718;0.8833147;0.5481130073516449;0.8503592530829887;0.2944855296071335;0.5171503957783641;0.8949032;0.7;0.97924775;0.2962963
15;0.24597281381439995;0.9095616;0.5967722734187926;0.8965194734134407;0.5480489225393127;0.9140173;0.79473686;0.99136084;0.26398602;0.87922704;0.5433078145073122;0.8469096914838375;0.2982265566891341;0.5185185185185185;0.8894984;0.6906475;0.98140943;0.25396827
16;0.24251441615234198;0.9112655;0.6032496050919033;0.8997104663777482;0.5600233100233101;0.91837716;0.7615607;0.9878166;0.30710956;0.885916;0.5531526401600071;0.8496604194831605;0.2950492182414977;0.5104166666666666;0.898332;0.70520234;0.9779507;0.3227513
17;0.24178186667021928;0.9112655;0.604711604741017;0.8998878130902055;0.5565268065268065;0.922086;0.72073174;0.9830909;0.3444056;0.8848012;0.5550643534808746;0.8506303227444603;0.29514030420018234;0.5065963060686016;0.9020474;0.67;0.97146565;0.35449734
18;0.2399881440625879;0.911331;0.6098169506194647;0.901121365651012;0.5606060606060606;0.9217993;0.72435105;0.9835339;0.34149185;0.8833147;0.5542034472200875;0.850784729513653;0.29379126364493274;0.5105820105820106;0.89996;0.6666667;0.97233033;0.33862433
19;0.23959091087095613;0.91231406;0.6092396150678806;0.9015242522866388;0.5582750582750583;0.91737914;0.79623824;0.99040097;0.2960373;0.88368636;0.5512011147075381;0.8522830470517456;0.292628459507805;0.5197889182058048;0.8930818;0.7210884;0.9822741;0.28042328
20;0.23731066122650124;0.91251063;0.6109607547195636;0.901688152232714;0.5658508158508159;0.9207334;0.7536618;0.9863398;0.32983682;0.88368636;0.5493482337370977;0.8505479724675573;0.29729492218132936;0.5132275132275133;0.8984064;0.67955804;0.9749243;0.32539684
21;0.24202726163774255;0.9108067;0.6138642573977429;0.9017434883657286;0.5580046403712297;0.9149748;0.8055077;0.9916562;0.27272728;0.8851728;0.5533885365821373;0.8508727985597853;0.2944344354579547;0.5123762376237624;0.8929412;0.7446808;0.9844358;0.2777778
22;0.24066579470597585;0.9122485;0.6195766649734649;0.9051675514423797;0.5648632926119838;0.9188058;0.7735849;0.9884811;0.31060606;0.8848012;0.5544010770540359;0.8515973666211454;0.293078663473411;0.5210526315789473;0.8966337;0.70481926;0.9788154;0.30952382
23;0.2343463562531489;0.9138869;0.6178666927779142;0.9040984797279563;0.5620267909143856;0.92119586;0.77088946;0.9874474;0.33333334;0.8833147;0.548369111181536;0.8480294264989465;0.2973567295261627;0.5185185185185185;0.8977318;0.6797753;0.9753567;0.32010582
24;0.23583528927878133;0.9133626;0.6238874700027465;0.9048511974377735;0.5716783216783217;0.9209203;0.76549864;0.98715204;0.33100232;0.88219994;0.5514400795962683;0.8514972881596314;0.2934732908090221;0.49206349206349204;0.89666134;0.6742857;0.9753567;0.3121693
25;0.23253154670289253;0.9144767;0.6324223537422582;0.9083932693361918;0.5769230769230769;0.91997254;0.79825836;0.9897364;0.32051283;0.884058;0.5479186775143722;0.8491657459448207;0.29878840612095997;0.4973544973544973;0.8956109;0.7037037;0.97924775;0.3015873
26;0.2333835331354813;0.9143456;0.6307274627096486;0.908815261137494;0.5757575757575758;0.92628205;0.7254686;0.9816141;0.38344988;0.87997025;0.5509955827325737;0.8536887205283227;0.2927391163226797;0.5238095238095238;0.902834;0.6244344;0.96411586;0.36507937
27;0.23693472351672584;0.9144767;0.6333405859305027;0.9103958048154311;0.5687645687645687;0.9226413;0.7631242;0.9863398;0.34731933;0.88294315;0.5550440961496039;0.8513600376981266;0.294916118702473;0.5211640211640212;0.8996;0.66492146;0.97233033;0.33597884
28;0.23412813328988266;0.91552526;0.635712802107379;0.909817787494447;0.5745052386495926;0.92255175;0.7812912;0.9877427;0.3455711;0.8818283;0.554685392457622;0.8552007631125658;0.2914521891204277;0.5142857142857142;0.89693594;0.66853935;0.974492;0.3148148
29;0.2340080090820715;0.91598403;0.6393759822019306;0.9113209208276771;0.5730926033779848;0.92587703;0.7511574;0.98412466;0.37820512;0.87997025;0.5583748512811232;0.8569827316044349;0.29010380612113845;0.5105820105820106;0.90120965;0.63033175;0.96627754;0.35185185
30;0.2326944563777701;0.91585296;0.6392263229524097;0.9105956130064525;0.5751748251748252;0.9239815;0.7693267;0.9863398;0.35955712;0.8818283;0.5589934195454344;0.854688361389615;0.29625154272779486;0.5185185185185185;0.8988405;0.65789473;0.97189796;0.33068782
31;0.23179709769063248;0.9155908;0.643507402362448;0.9136985242722524;0.583916083916084;0.91972053;0.8242424;0.9914347;0.3170163;0.88219994;0.5605703652620087;0.8543955604050717;0.29212733825778747;0.5264550264550265;0.893223;0.6993464;0.98011243;0.28306878
32;0.2350931092356692;0.91696703;0.6449959124035809;0.9135207257484449;0.5868298368298368;0.92366093;0.7911803;0.9881119;0.35547787;0.8833147;0.554253211001093;0.8555061453894137;0.2914187757444399;0.5197889182058048;0.8977318;0.6797753;0.9753567;0.32010582
33;0.23342460749760097;0.9169015;0.6459754828023279;0.9109099231025687;0.5798368298368298;0.92494637;0.7745098;0.98641366;0.36829838;0.88219994;0.5528958777243171;0.854206841020503;0.2914088042207209;0.525065963060686;0.90112543;0.6502463;0.9693039;0.34920636
34;0.23190583541913157;0.91775346;0.6531546310324852;0.9155605894511603;0.5844988344988346;0.92524916;0.784217;0.9870782;0.37062937;0.8848012;0.5564559279696918;0.8481518081604549;0.2946664752713458;0.5184210526315789;0.9017248;0.67171717;0.97189796;0.35185185
35;0.22969755252382687;0.91795003;0.6511701900077241;0.915262781226748;0.5876528829353523;0.928049;0.7572062;0.98382926;0.39801866;0.8781122;0.5561358963794214;0.855899596712394;0.2971938620977289;0.5264550264550265;0.90198463;0.6126126;0.96281886;0.35978836
36;0.22901515102320216;0.9155908;0.647489803794058;0.9143049841934876;0.5891608391608392;0.91960555;0.8262195;0.9915824;0.31585082;0.884058;0.5553332926903706;0.8522298624979127;0.30603271275924865;0.5078947368421053;0.89592403;0.7012195;0.9788154;0.3042328
37;0.23207318945755803;0.9176879;0.6529353258962147;0.9157913574770992;0.5874125874125874;0.9260698;0.77380955;0.9859706;0.37878788;0.8818283;0.5588765783248812;0.8537196018821614;0.2916213475397554;0.5185185185185185;0.9001203;0.6515151;0.9701686;0.34126985
38;0.22893126827660829;0.9188675;0.6557117938025557;0.9167990473923427;0.5885780885780886;0.9283576;0.7667411;0.9845677;0.40034965;0.88145673;0.5590052689192905;0.8515499008365416;0.2974915523974925;0.5171503957783641;0.90104586;0.6439024;0.9684393;0.34920636
39;0.22745563105179384;0.9170981;0.6583922684313511;0.9170004907101562;0.594988344988345;0.92502075;0.77668715;0.9865613;0.3688811;0.8833147;0.560017139555239;0.8531431499438418;0.29596666047029097;0.5158730158730159;0.90028036;0.66494846;0.97189796;0.34126985
40;0.2297535871395852;0.9178845;0.6606539744444848;0.9186509575732791;0.5891608391608392;0.9235594;0.8082557;0.9893672;0.3537296;0.88368636;0.5632586962998605;0.8605077809574134;0.28909940491989394;0.5224274406332454;0.8977725;0.6836158;0.975789;0.32010582
41;0.22789649636230108;0.9182122;0.6585492989996116;0.9183324090563993;0.5880302149912842;0.92628807;0.77923626;0.9863398;0.38053614;0.87922704;0.5512047339316967;0.8559144655123903;0.29402481611999426;0.5158730158730159;0.89823717;0.63589746;0.9693039;0.32804233
42;0.22746021319963186;0.91795003;0.6549279719086757;0.9150785282550771;0.5844988344988346;0.92942494;0.74472576;0.982131;0.41142192;0.877369;0.5562452215366238;0.8558401215124085;0.2930061564912631;0.5211640211640212;0.9022312;0.6061947;0.9615218;0.36243385
